Comment,Designator,Footprint,LCSC
470,"R2,R3",R_0402_1005Metric,C25117
10k,R1,R_0402_1005Metric,C25744
USBLC6-2SC6,U1,SOT-23-6,C2827654
100nF,"C1,C4,C5,C6,C7,C8",C_0402_1005Metric,C307331
RST,"SW1,SW2",SW_SPST_SKQG_WithoutStem,C318884
1uF,"C10,C2,C3,C9",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
STM32F072C8Tx,U2,LQFP-48_7x7mm_P0.5mm,C80488
1n4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D9",D_SOD-123-EditSkilk,C81598
