Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,493.268,-302.7857,-90.0,bottom
C2,4.7uF,C_0402_1005Metric,475.488,-294.1497,0.0,bottom
C3,1uF,C_0402_1005Metric,475.488,-293.0067,0.0,bottom
C4,100nF,C_0402_1005Metric,476.405,-299.8647,180.0,bottom
C5,100nF,C_0402_1005Metric,481.584,-309.6437,0.0,bottom
C6,100nF,C_0402_1005Metric,486.283,-309.6437,0.0,bottom
C7,100nF,C_0402_1005Metric,488.442,-306.9767,-90.0,bottom
C8,100nF,C_0402_1005Metric,485.394,-297.3247,180.0,bottom
C9,1uF,C_0402_1005Metric,475.869,-287.9267,180.0,bottom
C10,1uF,C_0402_1005Metric,476.377,-298.7217,0.0,bottom
D1,1n4148,D_SOD-123-EditSkilk,191.29375,-241.2542,90.0,bottom
D2,1n4148,D_SOD-123-EditSkilk,224.63125,-241.2542,90.0,bottom
D3,1n4148,D_SOD-123-EditSkilk,243.68125,-241.2542,90.0,bottom
D4,1n4148,D_SOD-123-EditSkilk,262.73125,-241.2542,90.0,bottom
D5,1n4148,D_SOD-123-EditSkilk,281.78125,-241.2542,90.0,bottom
D6,1n4148,D_SOD-123-EditSkilk,315.11875,-241.2542,90.0,bottom
D7,1n4148,D_SOD-123-EditSkilk,334.16875,-241.2542,90.0,bottom
D8,1n4148,D_SOD-123-EditSkilk,353.21875,-241.2542,90.0,bottom
D9,1n4148,D_SOD-123-EditSkilk,372.26875,-241.2542,90.0,bottom
D10,1n4148,D_SOD-123-EditSkilk,405.60625,-241.2542,90.0,bottom
D11,1n4148,D_SOD-123-EditSkilk,424.65625,-241.2542,90.0,bottom
D12,1n4148,D_SOD-123-EditSkilk,443.70625,-241.2542,90.0,bottom
D13,1n4148,D_SOD-123-EditSkilk,462.75625,-241.2542,90.0,bottom
D14,1n4148,D_SOD-123-EditSkilk,486.56875,-241.2542,90.0,bottom
D15,1n4148,D_SOD-123-EditSkilk,508.381,-243.4767,-90.0,bottom
D16,1n4148,D_SOD-123-EditSkilk,524.66875,-241.2542,90.0,bottom
D17,1n4148,D_SOD-123-EditSkilk,191.29375,-265.0667,90.0,bottom
D18,1n4148,D_SOD-123-EditSkilk,210.34375,-265.0667,90.0,bottom
D19,1n4148,D_SOD-123-EditSkilk,229.39375,-265.0667,90.0,bottom
D20,1n4148,D_SOD-123-EditSkilk,248.44375,-265.0667,90.0,bottom
D21,1n4148,D_SOD-123-EditSkilk,267.49375,-265.0667,90.0,bottom
D22,1n4148,D_SOD-123-EditSkilk,286.54375,-265.0667,90.0,bottom
D23,1n4148,D_SOD-123-EditSkilk,305.59375,-265.0667,90.0,bottom
D24,1n4148,D_SOD-123-EditSkilk,324.64375,-265.0667,90.0,bottom
D25,1n4148,D_SOD-123-EditSkilk,343.69375,-265.0667,90.0,bottom
D26,1n4148,D_SOD-123-EditSkilk,362.74375,-265.0667,90.0,bottom
D27,1n4148,D_SOD-123-EditSkilk,381.79375,-265.0667,90.0,bottom
D28,1n4148,D_SOD-123-EditSkilk,400.84375,-265.0667,90.0,bottom
D29,1n4148,D_SOD-123-EditSkilk,419.89375,-265.0667,90.0,bottom
D30,1n4148,D_SOD-123-EditSkilk,450.85,-265.0667,90.0,bottom
D31,1n4148,D_SOD-123-EditSkilk,486.56875,-265.0667,90.0,bottom
D32,1n4148,D_SOD-123-EditSkilk,505.61875,-265.0667,90.0,bottom
